Account Name,Account 18 Digit ID,Training Recordings
UFC Gym,0011N00001GuryBQAR,
Texas Roadhouse,0011N00001GurzHQAR,
Epcon Franchising,0011N00001GurzZQAR,
Amerispec Home Inspection Services,0011N00001GurzwQAB,
Caribou Coffee,0011N00001Gus02QAB,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/EgoP63ngzaVIlm47IFi9ALwB134XJLrrMxTqTmZ1OMsNpQ?e=mzbAH4
Hobbytown,0011N00001Gus04QAB,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/EpFTs1GmXrtCnFmBk7AFnCEBkURVxa8FwqC32_7debTuQg?e=1QUo4V
"Culver Franchising System, Inc.",0011N00001Gus0OQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/EhBMFRkMWcFDrTtsLEV4LN8BFGuCHq3kgntQxdNWtj0LAQ?e=K8Hola
European Wax Center,0011N00001Gus0jQAB,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/EuwEwFyuBAtAs0eiuAlOs0wBeYbpS7_bnGD08zKPbDsAJQ?e=mV1c9u
Fastsigns,0011N00001Gus0pQAB,
Furniture Medic,0011N00001Gus0uQAB,
Keller Williams Realtors,0011N00001Gus1CQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/Et5X_ti-pkJHhboowdr_osUBmMXRIva1VXD3PpQL_ZO-Kw?e=N7Jyrq
KOA / Kampgrounds of America,0011N00001Gus1EQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/ElEh3puv_b1BoEKCPc7QMjsB-0mIPyl9Q6x42hCbs1_D9A?e=fYshFL
Mighty Auto Parts,0011N00001Gus1GQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/Egui0xKLVHhDh6DwZ-AkA2kBibe2N6MP-UPtVVQbdj6Upw?e=cRNeBV
Patchmaster,0011N00001Gus1oQAB,
Massageluxe,0011N00001Gus1zQAB,
Taco John's,0011N00001Gus27QAB,
Green Home Solutions,0011N00001Gus29QAB,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/EkMcf2w2yh5DmVEZnXRqJWQBqoxv33UGySDEt0JF8E28zw?e=foeaNy
Medi - Weightloss,0011N00001Gus2DQAR,https://francon1062.sharepoint.com/sites/franconnectuniversity/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Ffranconnectuniversity%2FShared%20Documents%2FTraining%20Video%20Archive%2FMedi%2DWeightloss&viewid=1c49f1ef%2D5f30%2D4e9a%2Da834%2D74855ff7
Steamatic,0011N00001Gus2MQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/ErFum8xtfMBHj7dFxkVWRIMBgzvQIacmTgW881x7BDjiNg?e=qJudwd
Batteries Plus Bulbs,0011N00001Gus2NQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/EvNV6Sk8x_RPujOqVD2TX30BWBB7kBQYAySTmQmyPuZ0tQ?e=SGDZAm
Hooters of America,0011N00001Gus2RQAR,https://francon1062.sharepoint.com/:f:/s/franconnectuniversity/Ev3_j0aesqBPvE6p5D4OVEQBWhoGyvppp3az2to0DflMyA?e=DgdwuA
Children's Lighthouse Learning Center,0011N00001Gus2bQAB,
Lawn Doctor,0011N00001Gus2cQAB,
The Pizza Ranch,0011N00001Gus2wQAB,
Buffalo Wings & Rings,0011N00001Gus2yQAB,
Massage Envy,0011N00001Gus2zQAB,
Jamba Juice,0011N00001Gus36QAB,
Blaze Pizza,0011N00001Gus3AQAR,
Potbelly Sandwich Works,0011N00001Gus3GQAR,
The Melting Pot,0011N00001Gus3IQAR,
